,Zeitstempel,I use the following databases for my scientific illustrations:,Regarding BioIcons,Is it easy to use the current BioIcons website?,"If you know about BioIcons, have you ever submitted or thought about submitting illustrations using the webform or via PullRequest?",I use the following tools to draw scientific illustrations or to assemble icons from BioIcons in illustrations,Which proposed features do you think are most useful to you: [Extension of the icon catalog based on community requests],Which proposed features do you think are most useful to you: [Collaborative web editor],Which proposed features do you think are most useful to you: [Templating mechanism to share graphics created using BioIcons for others to reuse],Which proposed features do you think are most useful to you: [Workshops on illustration licensing and creating illustrations using BioIcons],Country,Position
642,11.09.2023 18:20:32,BioIcons,I want to use it but the catalog is too limited.,Yes.,Yes.,Adobe Illustrator,High priority,Unnecessary,High priority,Low priority,USA,PostDoc
643,17.10.2023 10:27:35,BioIcons,I want to use it but the catalog is too limited.,Yes.,Yes.,Microsoft PowerPoint,Nice to have,Unnecessary,Low priority,Unnecessary,Netherlands,PostDoc
644,22.10.2023 14:58:25,"BioIcons, FreePik, flat icon",I want to use it but the catalog is too limited.,Yes.,Yes.,Microsoft PowerPoint,Nice to have,Nice to have,Nice to have,Nice to have,,permanent academic staff
645,01.11.2023 15:01:46,"BioIcons, Adobe Stock",I want to use it but the catalog is too limited.,Yes.,Yes.,Adobe Illustrator,High priority,Low priority,Nice to have,Low priority,Switzerland,PhD student
646,19.12.2023 11:36:33,"BioRender, Open ClipArt, Wikimedia Commons",I want to use it but the catalog is too limited.,Yes.,Yes.,Inkscape,High priority,Low priority,Low priority,Nice to have,Finland,Professor
647,11.01.2024 03:23:18,NCBI,I want to use it but the catalog is too limited.,Yes.,Yes.,Adobe Illustrator,Unnecessary,Unnecessary,High priority,Nice to have,China,permanent academic staff
648,21.01.2024 08:25:22,"BioIcons, BioRender, MindTheGraph",I want to use it but the catalog is too limited.,Yes.,Yes.,Adobe Illustrator,Nice to have,Nice to have,Nice to have,Nice to have,,
649,25.01.2024 02:40:18,BioIcons,I want to use it but the catalog is too limited.,Yes.,Yes.,Inkscape,Nice to have,High priority,High priority,Nice to have,,
650,09.02.2024 01:02:03,MindTheGraph,I want to use it but the catalog is too limited.,Yes.,Yes.,Inkscape,Unnecessary,Low priority,Nice to have,Low priority,,
651,07.03.2024 09:27:58,"BioIcons, BioRender",I want to use it but the catalog is too limited.,Yes.,Yes.,Adobe Illustrator,Unnecessary,Low priority,Unnecessary,Low priority,,
652,10.03.2024 14:39:34,"BioIcons, SciDraw",I want to use it but the catalog is too limited.,Yes.,Yes.,Microsoft PowerPoint,Nice to have,Nice to have,Nice to have,Nice to have,,
653,16.04.2024 13:47:21,BioRender,I want to use it but the catalog is too limited.,Yes.,Yes.,"BioRender WebEditor, Microsoft PowerPoint, Keynote",High priority,Nice to have,Nice to have,Nice to have,,Professor
654,04.05.2024 01:28:48,,I want to use it but the catalog is too limited.,Yes.,Yes.,Microsoft PowerPoint,Nice to have,Nice to have,Nice to have,Nice to have,,
655,09.05.2024 21:49:45,"BioIcons, Wikimedia Commons",I want to use it but the catalog is too limited.,Yes.,Yes.,Inkscape,High priority,Nice to have,Nice to have,Low priority,Argentina,PostDoc
656,15.05.2024 21:03:26,"BioIcons, BioRender, MindTheGraph, SMART by Servier, SciDraw, Reactome, Open ClipArt",I want to use it but the catalog is too limited.,Yes.,Yes.,"Inkscape, Adobe Illustrator, BioRender WebEditor",High priority,High priority,High priority,High priority,USA,PhD student
657,16.05.2024 03:38:16,BioIcons,I want to use it but the catalog is too limited.,Yes.,Yes.,Inkscape,Unnecessary,Low priority,Unnecessary,Low priority,,
658,19.06.2024 09:50:00,"BioIcons, BioRender, Adobe Stock",I want to use it but the catalog is too limited.,Yes.,Yes.,"Inkscape, Adobe Illustrator, Microsoft PowerPoint",,,,,,
659,04.07.2024 12:55:42,"BioRender, SMART by Servier, SciDraw",I want to use it but the catalog is too limited.,Yes.,Yes.,Adobe Illustrator,Nice to have,Nice to have,Nice to have,Nice to have,China,PhD student
660,16.07.2024 04:06:03,FreePik,I want to use it but the catalog is too limited.,Yes.,Yes.,Inkscape,Unnecessary,Nice to have,Low priority,Low priority,,PhD student
661,27.07.2024 14:00:21,"BioIcons, BioRender",I want to use it but the catalog is too limited.,Yes.,Yes.,"Inkscape, Adobe Illustrator",Unnecessary,High priority,Nice to have,Nice to have,,Undergraduate
662,15.08.2024 17:05:36,"SciDraw, Open ClipArt, Wikimedia Commons, Other Stocklibrary such as Vecteezy",I want to use it but the catalog is too limited.,Yes.,Yes.,"Inkscape, Adobe Illustrator, BioRender WebEditor, Microsoft PowerPoint",Unnecessary,Unnecessary,Unnecessary,Unnecessary,,PhD student
663,11.09.2024 07:05:02,"SciDraw, Reactome, Open ClipArt",I want to use it but the catalog is too limited.,Yes.,Yes.,,High priority,High priority,High priority,High priority,China,Undergraduate
664,07.10.2024 19:20:15,"BioIcons, BioRender",I want to use it but the catalog is too limited.,Yes.,Yes.,BioRender WebEditor,High priority,Nice to have,Low priority,Low priority,,Undergraduate
665,08.10.2024 04:31:43,BioIcons,I want to use it but the catalog is too limited.,Yes.,Yes.,Inkscape,High priority,Nice to have,Nice to have,Nice to have,,PostDoc
666,29.10.2024 11:24:48,BioIcons,I want to use it but the catalog is too limited.,Yes.,Yes.,Inkscape,High priority,Low priority,Low priority,Nice to have,Switzerland,PhD student
667,29.05.2024 09:53:00,BioIcons,"I use it for my illustrations, and the catalog is already big enough for me.",,Yes.,Adobe Illustrator,,,,,,
668,02.08.2024 03:37:17,"BioIcons, BioRender","I use it for my illustrations, and the catalog is already big enough for me.",,Yes.,,,,,,,
669,21.08.2024 16:16:39,,"I use it for my illustrations, and the catalog is already big enough for me.",,Yes.,Inkscape,Unnecessary,Low priority,Low priority,Unnecessary,,
670,10.10.2024 12:27:13,"TogoTV/DBCLS, SMART by Servier, SciDraw, Reactome","I use it for my illustrations, and the catalog is already big enough for me.",,Yes.,Inkscape,Low priority,Low priority,Unnecessary,Low priority,,
671,13.05.2024 16:58:57,"BioIcons, Open ClipArt, Wikimedia Commons, Adobe Stock",I want to use it but the catalog is too limited.,,Yes.,"Adobe Illustrator, Microsoft PowerPoint, Blender, Adobe Medium, Gravity Sketch, Adobe Substance 3D Modeller",High priority,Nice to have,Nice to have,Nice to have,USA,Professor
672,28.06.2024 13:57:00,,I do not use it because I don't need to create illustrations for my work.,Have never used it.,,,,,,,,
673,02.01.2024 21:45:29,BioRender,"I use it for my illustrations, and the catalog is already big enough for me.",Have never used it.,,,High priority,Nice to have,High priority,Low priority,,
674,28.10.2024 03:33:53,BioIcons,"I use it for my illustrations, and the catalog is already big enough for me.",Have never used it.,,Adobe Illustrator,Nice to have,Low priority,Nice to have,Nice to have,,Undergraduate
675,23.08.2024 02:50:29,"BioRender, Wikimedia Commons",Haven't used it yet but will do so in the future,Have never used it.,,"Adobe Illustrator, BioRender WebEditor, Microsoft PowerPoint",Nice to have,Nice to have,Low priority,Low priority,Industry,I have been a professor but now work in industry 
676,10.06.2024 12:04:00,BioRender,I want to use it but I do not know which editor  I can use.,Have never used it.,,"Adobe Illustrator, BioRender WebEditor, Microsoft PowerPoint",Nice to have,Nice to have,Nice to have,Nice to have,,PostDoc
677,18.09.2024 02:56:22,,I want to use it but the catalog is too limited.,Have never used it.,,,,,,,,
678,30.05.2024 16:16:58,SciDraw,"I use it for my illustrations, and the catalog is already big enough for me.",It is hard to find the right illustrations.,,,,,,,,
679,30.09.2024 09:49:41,BioIcons,"I use it for my illustrations, and the catalog is already big enough for me.",It is hard to find the right illustrations.,,BioRender WebEditor,,,,,,
680,17.12.2023 07:38:30,,I want to use it but the catalog is too limited.,It is hard to find the right illustrations.,,,High priority,High priority,High priority,High priority,,
681,14.04.2024 17:18:19,"BioIcons, BioRender, Open ClipArt",I do not use it because I don't need to create illustrations for my work.,No.,,,,,,,,
682,24.11.2023 08:55:46,BioRender,"I use it for my illustrations, and the catalog is already big enough for me.",No.,,,,,,,,
683,01.12.2023 13:45:12,"BioIcons, BioRender","I use it for my illustrations, and the catalog is already big enough for me.",Yes.,,,,,,,,
684,06.12.2023 09:56:36,BioIcons,"I use it for my illustrations, and the catalog is already big enough for me.",Yes.,,BioRender WebEditor,Unnecessary,Unnecessary,Unnecessary,Unnecessary,,PhD student
685,11.12.2023 04:35:38,"BioIcons, BioRender, MindTheGraph, TogoTV/DBCLS, SMART by Servier, SciDraw, Adobe Stock","I use it for my illustrations, and the catalog is already big enough for me.",Yes.,,,,,,,,
686,11.12.2023 11:11:03,"BioIcons, SciDraw, Reactome","I use it for my illustrations, and the catalog is already big enough for me.",Yes.,,Inkscape,Nice to have,Nice to have,,Nice to have,,Undergraduate
687,17.01.2024 04:37:24,BioIcons,"I use it for my illustrations, and the catalog is already big enough for me.",Yes.,,Inkscape,Unnecessary,Unnecessary,Unnecessary,Unnecessary,,Undergraduate
688,02.02.2024 15:23:57,BioIcons,"I use it for my illustrations, and the catalog is already big enough for me.",Yes.,,,,,,,,
689,27.02.2024 07:42:06,BioIcons,"I use it for my illustrations, and the catalog is already big enough for me.",Yes.,,,,,,,,
690,01.04.2024 10:55:37,FreePik,"I use it for my illustrations, and the catalog is already big enough for me.",Yes.,,,,,,,,
691,27.05.2024 04:34:30,BioRender,"I use it for my illustrations, and the catalog is already big enough for me.",Yes.,,,,,,,,
692,04.07.2024 14:55:28,"BioIcons, SciDraw, Open ClipArt","I use it for my illustrations, and the catalog is already big enough for me.",Yes.,,,,,,,,
693,10.07.2024 17:30:37,BioIcons,"I use it for my illustrations, and the catalog is already big enough for me.",Yes.,,,,,,,,
694,04.09.2024 17:11:52,BioIcons,"I use it for my illustrations, and the catalog is already big enough for me.",Yes.,,Inkscape,High priority,High priority,High priority,High priority,,Undergraduate
695,27.11.2023 09:08:40,"BioRender, SciDraw",I want to use it but the catalog is too limited.,Yes.,,,,,,,,
696,15.08.2024 06:52:21,"BioRender, Adobe Stock, Other Stocklibrary such as Vecteezy",I want to use it but the catalog is too limited.,Yes.,,"BioRender WebEditor, Microsoft PowerPoint",High priority,Nice to have,High priority,High priority,USA,M.S. Biology Candidate
697,21.12.2023 09:21:48,,I do not use it because I don't need to create illustrations for my work.,,,,Unnecessary,Low priority,Unnecessary,Unnecessary,,
698,07.06.2024 08:55:28,,I do not use it because I don't need to create illustrations for my work.,,,,,,,,,
699,09.05.2024 06:37:33,,I do not use it because my university/lab has a premium subscription to Biorender or MindTheGraph.,,,,,,,,,
700,28.09.2024 13:02:42,,I do not use it because my university/lab has a premium subscription to Biorender or MindTheGraph.,,,,,,,,,
701,15.04.2024 20:03:14,"BioRender, Wikimedia Commons",Haven't used it yet but will do so in the future,,,,High priority,Low priority,Nice to have,Low priority,,
702,08.11.2023 17:01:20,BioIcons,"I use it for my illustrations, and the catalog is already big enough for me.",,,,,,,,,
703,29.11.2023 02:23:06,BioIcons,"I use it for my illustrations, and the catalog is already big enough for me.",,,,,,,,,
704,29.11.2023 12:55:23,,"I use it for my illustrations, and the catalog is already big enough for me.",,,,,,,,,
705,13.12.2023 03:14:01,"BioIcons, BioRender, MindTheGraph","I use it for my illustrations, and the catalog is already big enough for me.",,,,,,,,,
706,19.12.2023 11:18:53,,"I use it for my illustrations, and the catalog is already big enough for me.",,,,,,,,,
707,20.12.2023 08:38:16,BioIcons,"I use it for my illustrations, and the catalog is already big enough for me.",,,,,,,,,
708,27.12.2023 12:18:44,BioIcons,"I use it for my illustrations, and the catalog is already big enough for me.",,,,,,,,,
709,30.12.2023 15:09:20,,"I use it for my illustrations, and the catalog is already big enough for me.",,,,,,,,,
710,08.01.2024 11:30:22,,"I use it for my illustrations, and the catalog is already big enough for me.",,,,,,,,,
711,29.02.2024 17:03:42,"BioIcons, BioRender","I use it for my illustrations, and the catalog is already big enough for me.",,,,,,,,,Undergraduate
712,01.03.2024 08:36:46,BioIcons,"I use it for my illustrations, and the catalog is already big enough for me.",,,,,,,,,
713,26.03.2024 13:18:42,,"I use it for my illustrations, and the catalog is already big enough for me.",,,,,,,,,
714,07.04.2024 09:06:10,BioIcons,"I use it for my illustrations, and the catalog is already big enough for me.",,,,,,,,,
715,08.04.2024 14:26:27,,"I use it for my illustrations, and the catalog is already big enough for me.",,,,,,,,,
716,16.04.2024 00:34:20,,"I use it for my illustrations, and the catalog is already big enough for me.",,,Adobe Illustrator,High priority,High priority,High priority,High priority,Industry,CEO
717,24.04.2024 08:50:47,BioRender,"I use it for my illustrations, and the catalog is already big enough for me.",,,,,,,,,
718,29.04.2024 15:16:12,BioRender,"I use it for my illustrations, and the catalog is already big enough for me.",,,,,,,,,
719,01.05.2024 04:21:22,,"I use it for my illustrations, and the catalog is already big enough for me.",,,,,,,,,
720,01.05.2024 13:42:11,,"I use it for my illustrations, and the catalog is already big enough for me.",,,,,,,,,
721,07.05.2024 16:24:19,,"I use it for my illustrations, and the catalog is already big enough for me.",,,,,,,,,
722,21.05.2024 09:25:06,,"I use it for my illustrations, and the catalog is already big enough for me.",,,,,,,,,
723,23.05.2024 07:25:57,,"I use it for my illustrations, and the catalog is already big enough for me.",,,,,,,,,
724,25.05.2024 10:24:18,"BioIcons, BioRender","I use it for my illustrations, and the catalog is already big enough for me.",,,,,,,,,
725,27.06.2024 13:59:28,,"I use it for my illustrations, and the catalog is already big enough for me.",,,,,,,,,
726,09.07.2024 16:55:23,,"I use it for my illustrations, and the catalog is already big enough for me.",,,,,,,,,
727,10.07.2024 11:58:51,,"I use it for my illustrations, and the catalog is already big enough for me.",,,,,,,,,
728,14.07.2024 08:10:34,"BioIcons, BioRender, MindTheGraph","I use it for my illustrations, and the catalog is already big enough for me.",,,,,,,,,PhD student
729,17.07.2024 09:46:46,BioIcons,"I use it for my illustrations, and the catalog is already big enough for me.",,,,,,,,,
730,17.07.2024 09:46:54,,"I use it for my illustrations, and the catalog is already big enough for me.",,,,,,,,,
731,17.07.2024 13:56:11,,"I use it for my illustrations, and the catalog is already big enough for me.",,,,,,,,,
732,26.07.2024 09:41:06,,"I use it for my illustrations, and the catalog is already big enough for me.",,,,,,,,,
733,05.08.2024 10:09:26,"BioIcons, BioRender, SciDraw","I use it for my illustrations, and the catalog is already big enough for me.",,,,,,,,,
734,15.08.2024 10:12:47,,"I use it for my illustrations, and the catalog is already big enough for me.",,,,,,,,,
735,20.08.2024 10:09:15,"BioIcons, SciDraw","I use it for my illustrations, and the catalog is already big enough for me.",,,,,,,,,
736,03.09.2024 00:32:49,,"I use it for my illustrations, and the catalog is already big enough for me.",,,,,,,,,
737,04.09.2024 04:43:35,,"I use it for my illustrations, and the catalog is already big enough for me.",,,,,,,,,
738,11.09.2024 03:26:50,,"I use it for my illustrations, and the catalog is already big enough for me.",,,,,,,,,
739,21.09.2024 14:41:19,,"I use it for my illustrations, and the catalog is already big enough for me.",,,,,,,,,
740,20.10.2024 05:22:06,,"I use it for my illustrations, and the catalog is already big enough for me.",,,,,,,,,
741,04.03.2024 09:45:52,BioIcons,I want to use it but I do not know which editor  I can use.,,,,,,,,,
742,21.04.2024 13:23:54,,I want to use it but I do not know which editor  I can use.,,,,,,,,,
743,29.05.2024 17:26:46,"BioIcons, BioRender",I want to use it but I do not know which editor  I can use.,,,,,,,,,PhD student
744,30.07.2024 20:30:15,BioRender,I want to use it but I do not know which editor  I can use.,,,,,,,,,
745,06.08.2024 09:33:22,,I want to use it but I do not know which editor  I can use.,,,,,,,,,
746,29.08.2024 09:31:47,"BioIcons, BioRender",I want to use it but I do not know which editor  I can use.,,,,,,,,,
